task,mean disprod_1,mean disprod_3,mean disprod_5,mean gurobiplan_1,mean gurobiplan_3,mean gurobiplan_5,mean jaxplan_1,mean jaxplan_3,mean jaxplan_5,mean noop,mean prost_1,mean prost_10,mean prost_2,mean prost_3,mean prost_4,mean prost_5,mean prost_6,mean prost_7,mean prost_8,mean prost_9,mean random,std disprod_1,std disprod_3,std disprod_5,std gurobiplan_1,std gurobiplan_3,std gurobiplan_5,std jaxplan_1,std jaxplan_3,std jaxplan_5,std noop,std prost_1,std prost_10,std prost_2,std prost_3,std prost_4,std prost_5,std prost_6,std prost_7,std prost_8,std prost_9,std random
GameOfLife_06,,,,0.7633726201269265,0.7035358114233905,0.7434270172257476,0.7352674524025383,0.7760652765185854,0.6065276518585669,0.0,1.0,,,0.9392565729827739,,0.986400725294651,,,,,0.0,,,,0.751435099187982,0.5921543351879573,0.8780746973600079,0.46235311841078724,0.4878246847999704,0.49681608210132433,0.6952166540070382,0.4627937949675553,,,0.52518169488272,,0.4048596430762559,,,,,0.36677613372210033
GameOfLife_07,,,,0.9838104976141786,0.972733469665985,0.9810838445807772,0.9285957736877982,0.9660872528970689,0.9686434901158828,0.0,0.9967620995228358,,,1.0,,0.9926721199727335,,,,,0.0,,,,0.07776844990237558,0.07893324990837614,0.0742846816695311,0.10435502539664934,0.08194484802254778,0.1407539720603073,0.3447204863704841,0.11588513470428177,,,0.06601408036188353,,0.07089687046893049,,,,,0.28813459225511207
GameOfLife_08,,,,0.9164690382081685,1.0,0.9934123847167325,0.9812911725955203,0.9525691699604744,0.9193675889328062,0.0,0.8996047430830039,,,0.9757575757575756,,0.9754940711462452,,,,,0.0,,,,0.21452107688031846,0.11285259873355208,0.14502691526238834,0.10386862458720171,0.1118141695648149,0.18743755552861696,0.380357200537461,0.36837332076687235,,,0.11195566412485335,,0.12843545619501837,,,,,0.39645623930624846
GameOfLife_09,,,,0.9725935828877004,1.0,0.8890374331550801,0.9455213903743314,0.9027406417112299,0.94451871657754,0.0,0.9261363636363635,,,0.9421791443850265,,0.9388368983957217,,,,,0.0,,,,0.21923299453729958,0.2055315523075863,0.41239631830918605,0.2112476618002872,0.23234620081852475,0.31065273026246826,0.353958052160881,0.12985604217113864,,,0.20640121220729438,,0.16451558723213625,,,,,0.4153167983370356
GameOfLife_10,,,,0.9868202458744049,0.9829438476021709,0.9924687119282313,0.7043969431830768,0.8735186620888249,0.9356517886809171,0.0,0.9422970428618895,,,0.9785136781481893,,1.0,,,,,0.0,,,,0.09272312652645218,0.05985075312706484,0.0889639909791305,0.08429110491063416,0.09091189153112753,0.076893356998806,0.17006207502332862,0.09666066063136126,,,0.09029452659956108,,0.07978272723547325,,,,,0.17206728399629712
HVAC_01,0.9567867864398029,0.9567867864398029,0.9567867864398029,0.00195848007870775,0.00195848007870775,0.00195848007870775,0.9860221764520626,1.0,0.9984540325735914,0.0,,,,,,,,,,,0.0,0.0025262369894349154,0.0025262369894349154,0.0025262369894349154,2.41149516413512e-16,2.41149516413512e-16,2.41149516413512e-16,0.0304453226462776,0.002294804812900083,0.007319274594462663,2.41149516413512e-16,,,,,,,,,,,0.00026168906881343673
HVAC_02,0.9686074281176101,0.9689272731448941,0.9689272731448941,0.0,0.0,0.0,0.9998274856317629,1.0,0.9991820069811794,0.0,,,,,,,,,,,0.0,0.015829737357750704,0.01433180287866648,0.01433180287866648,0.23956695516943904,0.4286023723134246,0.23956695516943904,0.014337092160747274,0.014099276879211944,0.01451589989324743,0.23956695516943904,,,,,,,,,,,0.23949834757381128
HVAC_03,0.9615371141971949,0.9610202417764169,0.9610202417764169,0.0,0.0,0.0,1.0,0.9472950014151429,0.9201977134829605,0.0,,,,,,,,,,,0.0,0.010129332480898878,0.009427819994319204,0.009427819994319204,0.22893827041092013,0.16190446452514107,0.7681646900819372,0.012046427109585152,0.23290704957180675,0.011652586775256608,0.16190446452514107,,,,,,,,,,,0.1617303376139707
HVAC_04,0.9659873340812177,0.9659873340812177,0.9659873340812177,0.0,0.0,0.0,0.9895496732457599,0.9946740560553575,1.0,0.0,,,,,,,,,,,0.0,0.008092389096787682,0.008092389096787682,0.008092389096787682,0.10597506292379921,0.10597506292379921,0.10597506292379921,0.006401584975510246,0.008750530677309304,0.006795205628852047,0.10597506292379921,,,,,,,,,,,0.10603680950230172
HVAC_05,0.9697521677215698,0.9697521677215698,0.9697521677215698,0.0,0.0,0.0,0.9964653885449322,1.0,0.9977920075222533,0.0,,,,,,,,,,,0.0,0.007183680993144793,0.007183680993144793,0.007183680993144793,0.16545059573306414,0.16545059573306414,0.16545059573306414,0.009101512850257372,0.009508453275272517,0.01803462478448326,0.16545059573306414,,,,,,,,,,,0.16535239579784558
