task,mean disprod_1,mean disprod_3,mean disprod_5,mean gurobiplan_1,mean gurobiplan_3,mean gurobiplan_5,mean jaxplan_1,mean jaxplan_3,mean jaxplan_5,mean noop,mean prost_1,mean prost_10,mean prost_2,mean prost_3,mean prost_4,mean prost_5,mean prost_6,mean prost_7,mean prost_8,mean prost_9,mean random,std disprod_1,std disprod_3,std disprod_5,std gurobiplan_1,std gurobiplan_3,std gurobiplan_5,std jaxplan_1,std jaxplan_3,std jaxplan_5,std noop,std prost_1,std prost_10,std prost_2,std prost_3,std prost_4,std prost_5,std prost_6,std prost_7,std prost_8,std prost_9,std random
CrossingTraffic_08,,,,-26.1,-26.1,-36.5,-34.8,-36.5,-36.5,-40.0,-22.0,,,-21.2,,-20.85,,,,,-40.0,,,,14.979652866471907,14.979652866471907,10.5,12.379822292747178,10.5,10.5,0.0,11.449890829173874,,,10.97087052152198,,10.422451726921071,,,,,0.0
CrossingTraffic_09,,,,-14.8,-14.5,-13.1,-14.5,-14.5,-14.5,-40.0,-8.9,,,-8.7,,-8.4,,,,,-40.0,,,,10.698598038995577,14.722431864335457,11.339753083731587,14.722431864335457,14.722431864335457,14.722431864335457,0.0,2.4474476501040834,,,1.646207763315433,,0.7999999999999999,,,,,0.0
CrossingTraffic_10,,,,-24.8,-28.25,-28.25,-31.8,-31.6,-31.55,-40.0,-17.25,,,-15.2,,-11.5,,,,,-40.0,,,,13.12097557348538,14.49784466739798,14.49784466739798,14.225329521666623,14.554724318928201,14.637195769682116,0.0,7.244825739795264,,,7.533923280734945,,3.905124837953327,,,,,0.0
Elevators_01,,,,-46.075,-45.55,-45.55,-64.3,-64.8625,-63.775,-67.25,-42.2875,,,-42.675,,-42.7625,,,,,-81.625,,,,10.244846265317992,11.547077552350638,11.547077552350638,8.053182600686513,8.151102302756358,9.493715026268696,7.80304427771623,11.168111691329022,,,10.392635613741108,,11.289230210691958,,,,,24.11217275568504
Elevators_02,,,,-26.1375,-21.8375,-21.1125,-30.325,-35.35,-34.1125,-52.3,-17.6625,,,-16.2375,,-16.5,,,,,-73.225,,,,15.727260370134399,10.231469530326521,10.519171485910855,16.389421130717217,14.302185147731796,14.323816486886448,15.03362896974646,10.172657899978747,,,8.7401641145919,,8.966604708583958,,,,,40.034040203306986
Elevators_03,,,,-57.275,-58.325,-57.9625,-67.35,-65.925,-65.7,-72.25,-54.725,,,-53.625,,-54.85,,,,,-114.7875,,,,6.815377832519632,9.231434070608966,10.399000853447413,5.837058334469512,6.635651814253065,7.812089989241034,4.334454983039967,8.146663427440709,,,7.09687431197707,,8.05310499124406,,,,,48.47410874631941
Elevators_04,,,,-55.9125,-59.6375,-54.7875,-75.375,-79.55,-86.425,-96.7,-50.7125,,,-50.175,,-52.9625,,,,,-113.2875,,,,19.461705186082746,24.784631704949742,19.14309193286184,21.417063874396977,25.10112049291824,23.51569954307122,23.138928237928393,19.393664397168475,,,17.513762445574052,,21.167970350272128,,,,,32.863759960631405
Elevators_05,,,,-54.7,-56.5875,-55.325,-89.925,-80.575,-75.65,-108.9,-49.2625,,,-50.025,,-50.2,,,,,-133.8375,,,,15.05730719617555,17.699448261174695,15.80666394278059,21.57184217910005,17.7429739615432,16.89589447173484,17.28554309242264,14.978208128811671,,,15.209146097003606,,17.37843491226986,,,,,32.354798233801425
Elevators_06,,,,-65.275,-70.65,-64.7625,-99.5,-87.9625,-98.2,-117.95,-60.4375,,,-60.9375,,-61.5875,,,,,-146.25,,,,15.552511855002717,19.69159084482511,15.145435574786221,19.73686271928748,21.187448377518233,18.84452838359188,14.998249897904754,15.448275591469748,,,17.38243995387299,,18.1944831954634,,,,,33.05090770311762
Elevators_07,,,,-81.7,-82.3625,-87.1625,-134.85,-127.125,-119.0875,-134.85,-77.5125,,,-80.825,,-79.3125,,,,,-150.1375,,,,26.054222306566743,27.04839124143985,33.01157704124418,37.03278952496018,31.694784665619675,38.63630700196384,37.03278952496018,29.91461547053547,,,29.62812219834392,,27.751900272774115,,,,,45.03168849543619
Elevators_08,,,,-70.1875,-68.6625,-69.925,-116.25,-112.3875,-115.4875,-142.05,-69.45,,,-70.625,,-70.025,,,,,-175.625,,,,21.893188866631558,19.426186418080107,20.60432296873644,29.852659010547118,32.925718955703914,27.2655316975481,33.764589439233525,23.74020850793017,,,22.62403312851181,,23.085425597116462,,,,,56.922617429278496
Elevators_09,,,,-85.125,-85.1875,-86.8,-139.8375,-132.2875,-132.2875,-159.15,-90.05,,,-81.375,,-83.75,,,,,-175.1,,,,19.280576365866246,20.066588368479582,18.398471403896576,20.789010768913464,24.60796047522021,25.090246486433728,27.65551482073693,25.597436395076755,,,19.904066795506893,,20.738400372256294,,,,,36.54965800113593
Elevators_10,,,,-71.4625,-71.35,-71.9375,-110.275,-98.875,-96.5125,-124.05,-66.1,,,-64.5625,,-63.875,,,,,-130.3,,,,32.31836503831838,24.82732869239057,26.170818075673523,40.44463036053117,39.608592817720755,31.245847224071234,41.657502325511544,26.043281283279185,,,26.22306653978516,,25.273565735764315,,,,,46.76073406181729
GameOfLife_01,,,,203.85,201.15,201.15,191.05,201.0,197.2,64.0,207.0,,,199.25,,202.5,,,,,47.55,,,,37.65537810193917,39.063121995047965,39.063121995047965,17.001397001423147,12.33288287465668,38.42603284233229,33.57082066318904,7.314369419163897,,,35.98037659613918,,26.106512597434378,,,,,20.180374129336652
GameOfLife_02,,,,59.25,84.35,84.55,125.3,117.8,112.65,46.3,121.05,,,124.1,,114.65,,,,,69.3,,,,39.73018373982179,53.99099461947335,52.25559778626592,41.424751055377506,40.02948912989023,40.94053614695343,25.27271255722266,35.086286494868624,,,40.40779627745121,,45.27391633159208,,,,,31.65454153830063
GameOfLife_03,,,,109.65,112.2,132.65,141.95,149.75,137.75,85.15,145.95,,,148.9,,144.6,,,,,107.4,,,,30.217999602885698,26.38484413446477,18.03406498823823,29.104080469927236,19.240257274787155,22.529702616767935,23.77241047937714,19.592026439345165,,,17.323105957073633,,16.128856128070584,,,,,16.95110615859626
